12:26:50 [INFO] Opening target process: csgo.exe
12:26:50 [INFO] Starting signature scanning: 58 items
12:26:50 [INFO] Found signature: dwClientState => 0x589FE4
12:26:50 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
12:26:50 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
12:26:50 [INFO] Found signature: dwClientState_Map => 0x28C
12:26:50 [INFO] Found signature: dwClientState_MapDirectory => 0x188
12:26:50 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
12:26:50 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
12:26:50 [INFO] Found signature: dwClientState_State => 0x108
12:26:50 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
12:26:50 [INFO] Found signature: clientstate_delta_ticks => 0x174
12:26:50 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
12:26:50 [INFO] Found signature: clientstate_choked_commands => 0x4D30
12:26:50 [INFO] Found signature: clientstate_net_channel => 0x9C
12:26:50 [INFO] Found signature: dwEntityList => 0x4DA521C
12:26:50 [INFO] Found signature: dwForceAttack => 0x31D6750
12:26:50 [INFO] Found signature: dwForceAttack2 => 0x31D675C
12:26:50 [INFO] Found signature: dwForceBackward => 0x31D678C
12:26:50 [INFO] Found signature: dwForceForward => 0x31D6768
12:26:50 [INFO] Found signature: dwForceJump => 0x524EFFC
12:26:50 [INFO] Found signature: dwForceLeft => 0x31D6780
12:26:50 [INFO] Found signature: dwForceRight => 0x31D67A4
12:26:50 [INFO] Found signature: dwGameDir => 0x628800
12:26:50 [INFO] Found signature: dwGameRulesProxy => 0x52C22EC
12:26:50 [INFO] Found signature: dwGetAllClasses => 0xDB4FF4
12:26:50 [INFO] Found signature: dwGlobalVars => 0x589CE8
12:26:50 [INFO] Found signature: ptrEntityList => 0x38DF1AC
12:26:50 [INFO] Found signature: dwGlowObjectManager => 0x52ED6A8
12:26:50 [INFO] Found signature: dwInput => 0x51F67E0
12:26:50 [INFO] Found signature: dwInterfaceLinkList => 0x947844
12:26:50 [INFO] Found signature: dwLocalPlayer => 0xD8D2CC
12:26:50 [INFO] Found signature: dwMouseEnable => 0xD92E70
12:26:50 [INFO] Found signature: dwMouseEnablePtr => 0xD92E40
12:26:50 [INFO] Found signature: dwPlayerResource => 0x31D4AD0
12:26:50 [INFO] Found signature: dwRadarBase => 0x51D9F94
12:26:50 [INFO] Found signature: dwSensitivity => 0xD92D0C
12:26:50 [INFO] Found signature: dwSensitivityPtr => 0xD92CE0
12:26:50 [INFO] Found signature: dwSetClanTag => 0x8A1B0
12:26:50 [INFO] Found signature: dwViewMatrix => 0x4D96B34
12:26:50 [INFO] Found signature: dwWeaponTable => 0x51F72A0
12:26:50 [INFO] Found signature: dwWeaponTableIndex => 0x325C
12:26:50 [INFO] Found signature: dwYawPtr => 0xD92AD0
12:26:50 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD97D70
12:26:50 [INFO] Found signature: dwbSendPackets => 0xD76DA
12:26:50 [INFO] Found signature: dwppDirect3DDevice9 => 0xA7050
12:26:50 [INFO] Found signature: m_pStudioHdr => 0x294C
12:26:50 [INFO] Found signature: m_yawClassPtr => 0xD92AD0
12:26:50 [INFO] Found signature: m_pitchClassPtr => 0x51DA230
12:26:50 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
12:26:50 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
12:26:50 [INFO] Found signature: m_bDormant => 0xED
12:26:50 [INFO] Found signature: model_ambient_min => 0x58D05C
12:26:50 [INFO] Found signature: set_abs_angles => 0x1E07A0
12:26:50 [INFO] Found signature: set_abs_origin => 0x1E05E0
12:26:50 [INFO] Found signature: is_c4_owner => 0x3BC630
12:26:50 [INFO] Found signature: force_update_spectator_glow => 0x3AF9FA
12:26:50 [INFO] Found signature: anim_overlays => 0x2980
